blockIndex,coinbaseReward,timestamp,difficulty,timeBetweenBlocks
741,256000000,1724156354928,28,3569
742,256000000,1724156356826,28,1898
743,256000000,1724156357411,28,585
744,256000000,1724156357983,28,572
745,256000000,1724156359197,28,1214
746,256000000,1724156359771,28,574
747,256000000,1724156360360,28,589
748,256000000,1724156364168,28,3808
749,256000000,1724156365721,28,1553
750,256000000,1724156368571,28,2850
751,256000000,1724156369504,28,933
752,256000000,1724156370400,28,896
753,256000000,1724156371306,28,906
754,256000000,1724156373176,28,1870
755,256000000,1724156374078,28,902
756,256000000,1724156377612,28,3534
757,256000000,1724156378563,28,951
758,256000000,1724156380459,28,1896
759,256000000,1724156381686,28,1227
760,256000000,1724156384550,28,2864
761,256000000,1724156385473,28,923
762,256000000,1724156386697,28,1224
763,256000000,1724156387276,28,579
764,256000000,1724156388151,28,875
765,256000000,1724156389067,28,916
766,256000000,1724156390631,28,1564
767,256000000,1724156391208,28,577
768,256000000,1724156393425,28,2217
769,256000000,1724156395939,28,2514
770,256000000,1724156397824,28,1885
771,256000000,1724156398407,28,583
772,256000000,1724156398977,28,570
773,256000000,1724156401521,28,2544
774,256000000,1724156402081,28,560
775,256000000,1724156403971,28,1890
776,256000000,1724156404870,28,899
777,256000000,1724156405788,28,918
778,256000000,1724156406677,28,889
779,256000000,1724156407592,28,915
780,256000000,1724156411524,28,3932
781,256000000,1724156415127,28,3603
782,256000000,1724156415711,28,584
783,256000000,1724156416271,28,560
784,256000000,1724156418142,28,1871
785,256000000,1724156418715,28,573
786,256000000,1724156419597,28,882
787,256000000,1724156420191,28,594
788,256000000,1724156420768,28,577
789,256000000,1724156421653,28,885
790,256000000,1724156422245,28,592
791,256000000,1724156423854,28,1609
792,256000000,1724156429087,28,5233
793,256000000,1724156429663,28,576
794,256000000,1724156432541,28,2878
795,256000000,1724156433133,28,592
796,256000000,1724156434684,28,1551
797,256000000,1724156436244,28,1560
798,256000000,1724156437803,28,1559
799,256000000,1724156438377,28,574
800,256000000,1724156442538,28,4161
801,256000000,1724156443125,28,587
802,256000000,1724156444023,28,898
803,256000000,1724156446872,28,2849
804,256000000,1724156447789,28,917
805,256000000,1724156449000,28,1211
806,256000000,1724156449902,28,902
807,256000000,1724156451464,28,1562
808,256000000,1724156452056,28,592
809,256000000,1724156452633,28,577
810,256000000,1724156453551,28,918
811,256000000,1724156454132,28,581
812,256000000,1724156455706,28,1574
813,256000000,1724156456945,28,1239
814,256000000,1724156457523,28,578
815,256000000,1724156458104,28,581
816,256000000,1724156459650,28,1546
817,256000000,1724156462193,28,2543
818,256000000,1724156463408,28,1215
819,256000000,1724156464327,28,919
820,256000000,1724156464902,28,575
821,256000000,1724156467818,28,2916
822,256000000,1724156469714,28,1896
823,256000000,1724156470623,28,909
824,256000000,1724156473173,28,2550
825,256000000,1724156474077,28,904
826,256000000,1724156475651,28,1574
827,256000000,1724156476236,28,585
828,256000000,1724156477467,28,1231
829,256000000,1724156478041,28,574
830,256000000,1724156478931,28,890
831,256000000,1724156479844,28,913
832,256000000,1724156480782,28,938
833,256000000,1724156481764,28,982
834,256000000,1724156483039,28,1275
835,256000000,1724156485993,28,2954
836,256000000,1724156486581,28,588
837,256000000,1724156487154,28,573
838,256000000,1724156488706,28,1552
839,256000000,1724156489279,28,573
840,256000000,1724156490183,28,904
841,256000000,1724156491095,28,912
842,256000000,1724156492650,28,1555
843,256000000,1724156493537,28,887
844,256000000,1724156494769,28,1232
845,256000000,1724156495334,28,565
